User_ID,Frequencia,Valor_Total,Ticket_Medio,Categoria_Favorita,Recencia,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Cluster
1000001,35,334093,9545.51,3,4152,F,0-17,10,A,2,0,4
1000002,77,810472,10525.61,1,4151,M,55+,16,C,4+,0,4
1000003,29,341635,11780.52,1,43460,M,26-35,15,A,3,0,2
1000004,14,206468,14747.71,1,4150,M,46-50,7,B,2,1,4
1000005,106,821001,7745.29,8,43448,M,26-35,20,A,1,1,2
1000006,47,379930,8083.62,5,4149,F,51-55,9,A,1,0,3
1000007,17,234668,13804.0,1,4148,M,36-45,1,B,1,1,4
1000008,77,796593,10345.36,8,4147,M,26-35,12,C,4+,1,4
1000009,58,594099,10243.09,8,4146,M,26-35,17,C,0,0,4
1000010,223,2169510,9728.74,5,4145,F,36-45,1,B,4+,1,1
1000011,70,557023,7957.47,5,4144,F,26-35,1,C,1,0,3
1000012,11,120801,10981.91,5,43421,M,26-35,12,C,2,0,2
1000013,60,713927,11898.78,1,43412,M,46-50,1,C,3,1,2
1000014,13,127629,9817.62,1,238301,M,36-45,0,C,0,0,2
1000015,117,1047728,8954.94,1,4143,M,26-35,7,A,1,0,4
1000016,22,150490,6840.45,5,4142,F,36-45,0,C,0,1,3
1000017,115,1425995,12399.96,1,4141,M,51-55,1,C,0,0,4
1000018,180,1979047,10994.71,1,4140,F,18-25,3,B,3,0,1
1000019,145,1458069,10055.65,1,4139,M,0-17,10,A,3,0,4
1000020,12,185747,15478.92,1,43374,M,26-35,14,A,0,0,4
1000021,14,127099,9078.5,3,4138,M,18-25,16,B,0,0,4
1000022,156,1279914,8204.58,5,4137,M,18-25,15,A,4+,0,4
1000023,171,1670998,9771.92,1,43346,M,36-45,0,B,3,1,2
1000024,77,720899,9362.32,5,4136,F,26-35,7,A,3,1,4
1000025,44,534706,12152.41,1,4135,M,18-25,4,C,4+,0,4
1000026,226,1606174,7106.96,5,43321,M,26-35,7,B,2,1,1
1000027,42,448934,10688.9,5,4134,M,26-35,11,C,1,1,4
1000028,57,516560,9062.46,5,43315,F,26-35,1,C,2,1,2
1000029,52,696201,13388.48,1,43314,M,36-45,7,C,1,0,2
1000030,31,261584,8438.19,8,4133,F,36-45,7,C,3,0,3
1000031,64,496154,7752.41,5,43306,M,55+,7,C,2,0,2
1000032,24,229049,9543.71,8,4132,F,26-35,0,C,3,1,4
1000033,216,1940418,8983.42,8,4131,M,46-50,3,A,1,1,1
1000034,100,807983,8079.83,5,4130,F,18-25,0,A,0,0,3
1000035,111,821303,7399.13,5,43274,M,46-50,1,C,4+,1,2
1000036,200,2316570,11582.85,5,4129,M,26-35,3,B,0,0,1
1000037,30,248370,8279.0,5,43256,F,26-35,9,C,1,0,2
1000039,41,382339,9325.34,5,4128,M,18-25,4,B,2,0,4
1000041,16,146840,9177.5,1,4127,F,18-25,4,C,3,0,4
1000042,125,1483035,11864.28,1,4126,M,26-35,8,C,0,1,4
1000043,14,137916,9851.14,5,4125,M,26-35,12,A,0,0,4
1000044,120,1180380,9836.5,1,43224,M,46-50,17,B,3,1,2
1000045,162,928494,5731.44,5,43210,F,46-50,16,A,1,1,2
1000046,21,138729,6606.14,11,4124,M,18-25,19,C,4+,0,3
1000047,14,131303,9378.79,8,238106,M,18-25,4,C,4+,1,2
1000048,338,2788504,8250.01,1,4123,M,26-35,4,B,3,1,1
1000049,60,732364,12206.07,1,4122,M,18-25,12,C,4+,1,4
1000050,25,198810,7952.4,5,4121,F,26-35,2,A,1,1,3
1000051,25,200772,8030.88,5,82127,F,0-17,10,C,2,0,2
1000052,42,523039,12453.31,1,43176,M,18-25,4,C,0,0,2
1000053,377,4270371,11327.24,8,43147,M,26-35,0,B,1,0,1
1000054,24,187451,7810.46,5,4120,M,51-55,1,C,4+,1,3
1000055,14,134320,9594.29,8,4119,F,36-45,12,B,1,0,4
1000056,38,383101,10081.61,8,4118,M,36-45,20,C,0,1,4
1000057,43,312584,7269.4,5,4117,M,18-25,19,C,2,0,3
1000058,261,2896836,11098.99,1,4116,M,26-35,2,B,3,0,1
1000059,128,980118,7657.17,8,4115,F,51-55,1,B,4+,1,3
1000060,36,280029,7778.58,1,4114,M,51-55,1,C,1,1,3
1000061,20,156360,7818.0,1,4113,M,26-35,17,C,1,0,3
1000062,282,2513618,8913.54,8,4112,F,36-45,3,A,1,0,1
1000063,63,553760,8789.84,5,43096,M,18-25,4,C,2,0,2
1000064,16,210996,13187.25,1,4111,M,18-25,1,A,1,1,4
1000065,67,892321,13318.22,1,4110,M,36-45,12,C,2,1,4
1000066,21,225028,10715.62,1,4109,M,26-35,18,C,2,0,4
1000067,36,352342,9787.28,8,43081,F,51-55,5,C,4+,1,2
1000068,43,328655,7643.14,5,4108,M,18-25,4,A,0,0,3
1000069,36,316042,8778.94,8,4107,F,26-35,1,A,1,0,3
1000070,26,213769,8221.88,5,4106,M,18-25,4,A,2,0,3
1000071,16,157105,9819.06,5,43073,M,26-35,14,A,0,1,2
1000072,27,228161,8450.41,5,4105,F,46-50,0,B,1,1,3
1000073,134,1428303,10658.98,1,4104,M,18-25,4,A,4+,0,4
1000074,29,326298,11251.66,6,4103,M,36-45,14,A,2,1,4
1000075,111,1035584,9329.59,3,4102,F,0-17,10,C,4+,0,4
1000076,51,597730,11720.2,1,43048,M,36-45,7,B,2,1,2
1000077,22,147847,6720.32,8,4101,M,18-25,4,C,2,0,3
1000078,86,582902,6777.93,5,4100,F,46-50,1,C,0,1,3
1000079,17,124538,7325.76,8,4099,F,46-50,0,A,1,0,3
1000080,32,339364,10605.12,1,4098,M,55+,1,C,3,1,4
1000081,51,624777,12250.53,5,43028,F,26-35,0,A,1,1,2
1000082,59,645708,10944.2,1,43023,M,26-35,17,C,2,1,2
1000083,53,529959,9999.23,1,4097,F,26-35,2,C,1,0,4
1000084,22,277125,12596.59,1,43020,M,18-25,4,C,1,0,2
1000085,19,148849,7834.16,1,43018,M,18-25,4,C,1,0,2
1000086,24,294063,12252.62,1,4096,F,0-17,10,C,3,0,4
1000087,37,407327,11008.84,1,43012,M,26-35,14,C,2,0,2
1000088,33,329348,9980.24,8,43010,F,46-50,1,C,1,1,2
1000089,14,112276,8019.71,5,4095,F,55+,9,C,1,1,3
1000090,137,1310621,9566.58,5,42999,M,55+,13,C,1,0,2
1000091,24,211281,8803.38,5,4094,M,36-45,7,C,3,1,4
1000092,223,1573914,7057.91,1,42984,F,18-25,4,B,1,0,1
1000093,115,1275642,11092.54,1,4093,M,26-35,17,B,1,1,4
1000094,7,49288,7041.14,11,81924,M,26-35,17,C,1,0,2
1000095,56,580306,10362.61,1,4092,M,46-50,0,C,4+,1,4
1000096,43,444238,10331.12,1,42962,F,26-35,16,C,2,1,2
1000097,83,867399,10450.59,8,4091,F,36-45,3,C,3,0,4
1000098,13,154510,11885.38,1,42959,F,36-45,7,C,2,1,2
1000099,65,506439,7791.37,5,4090,F,0-17,10,C,1,0,3
1000100,42,461945,10998.69,1,4089,M,36-45,17,C,4+,0,4
